"Отметка времени","Ваш возраст?","Где Вы проживаете?","Хватает ли Вам мест общего пользования для свободного времяпровождения? (если вы проживаете в Кировском районе)","Знаете ли Вы о существовании Ушаковских бань ""Гигант"" (улица Зои Космодемьянской, 7А)?","Если знаете, как бы Вы описали его нынешнее состояние и роль в районе?","Что, на Ваш взгляд, является главной проблемой этого здания сейчас?","Как Вы считаете, нужно ли находить новое применение для этого здания?","Какие функции на Ваш взгляд наиболее востребованы? (выберите до 3-х вариантов)","Как часто Вы могли бы посещать обновленное пространство в Ушаковских банях, если бы там появились интересные вам функции?","На Ваш взгляд, является ли это здание частью исторической памяти Кировского района?","Какое решение вам кажется наиболее важным в будущем этого объекта?","Что могло бы стать для Вас решающим аргументом для посещения? "
"2026/04/21 4:34:55 PM GMT+3","26-35","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Обеспечение доступности для всех социальных групп","Уникальная атмосфера и история места"
"2026/04/21 4:35:15 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Скорее да","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Нет, это рядовое здание","Создание современных, удобных и функциональных пространств","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 4:35:36 PM GMT+3","18-25","Кировский район","Скорее нет","Слышал(а), но подробности не известны","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Реже, чем раз в месяц","Нет, это рядовое здание","Сохранение исторического облика и памяти места","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 4:36:01 PM GMT+3","36-45","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/04/22 10:24:04 AM GMT+3","26-35","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/22 10:25:20 AM GMT+3","18-25","Кировский район","Скорее нет","Слышал(а), но подробности не известны","","","Мне все равно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Нет, это рядовое здание","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/22 10:25:48 AM GMT+3","18-25","Кировский район","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места","Уникальная атмосфера и история места"
"2026/04/22 10:26:25 AM GMT+3","18-25","Кировский район","Скорее нет","Нет, не знаю","","","Мне все равно","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Раз в неделю","Затрудняюсь ответить","Сохранение исторического облика и памяти места;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/04/22 10:26:56 AM GMT+3","45-60","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Несколько раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/22 10:27:25 AM GMT+3","36-45","Кировский район","Затрудняюсь ответить","Слышал(а), но подробности не известны","","","Скорее да","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/04/22 10:27:45 AM GMT+3","18-25","Другой район Санкт-Петербурга","","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Скорее да, но не ключевая","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/04/22 10:28:08 AM GMT+3","26-35","Кировский район","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/22 10:28:25 AM GMT+3","26-35","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Мне все равно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Вряд ли стал бы посещать","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/22 10:28:46 AM GMT+3","18-25","Кировский район","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Раз в неделю","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/22 10:29:27 AM GMT+3","18-25","Кировский район","Нет","Слышал(а), но подробности не известны","","","Скорее да","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Скорее да, но не ключевая","Обеспечение доступности для всех социальных групп","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/22 10:30:01 AM GMT+3","45-60","Кировский район","Затрудняюсь ответить","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/22 10:30:26 AM GMT+3","больше 60","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Раз в неделю","Да, важная часть","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/04/22 10:31:21 AM GMT+3","26-35","Кировский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Нет, это рядовое здание","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
