"Отметка времени","Ваш возраст?","Где Вы проживаете?","Хватает ли Вам мест общего пользования для свободного времяпровождения? (если вы проживаете в МО Невская застава)","Знаете ли Вы о существовании ДК ""Невский"" (проспект Обуховской Обороны, 32)?","Если знаете, как бы Вы описали его нынешнее состояние и роль в районе?","Что, на Ваш взгляд, является главной проблемой этого здания сейчас?","Как Вы считаете, нужно ли находить новое применение для этого здания?","Какие функции на Ваш взгляд наиболее востребованы? (выберите до 3-х вариантов)","Как часто Вы могли бы посещать обновленное пространство в ДК «Невский», если бы там появились интересные вам функции?","На Ваш взгляд, является ли это здание частью исторической памяти Невского района?","Какое решение вам кажется наиболее важным в будущем этого объекта?","Что могло бы стать для Вас решающим аргументом для посещения? "
"2026/01/11 12:09:19 PM GMT+3","26-35","МО Невская застава","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Раз в неделю","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 12:37:23 PM GMT+3","18-25","МО Невская застава","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 12:40:42 PM GMT+3","36-45","МО Невская застава","Скорее нет","Слышал(а), но подробности не известны","","","Скорее да","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/11 12:42:09 PM GMT+3","26-35","МО Невская застава","Затрудняюсь ответить","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 12:43:44 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Высокое качество и комфорт пространства"
"2026/01/11 12:45:18 PM GMT+3","26-35","МО Невская застава","Скорее нет","Слышал(а), но подробности не известны","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Да, важная часть","Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/11 12:47:33 PM GMT+3","18-25","МО Невская застава","Нет","Слышал(а), но подробности не известны","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/11 12:48:07 PM GMT+3","26-35","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 12:49:17 PM GMT+3","18-25","МО Невская застава","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места","Высокое качество и комфорт пространства"
"2026/01/11 12:51:03 PM GMT+3","36-45","МО Невская застава","Затрудняюсь ответить","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Да, важная часть","Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 12:52:40 PM GMT+3","45-60","МО Невская застава","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/11 12:53:23 PM GMT+3","36-45","Другой район Санкт-Петербурга","Затрудняюсь ответить","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Скорее да, но не ключевая","Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства"
"2026/01/11 12:53:55 PM GMT+3","26-35","МО Невская застава","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых","1-2 раза в месяц","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/01/11 12:54:16 PM GMT+3","26-35","МО Невская застава","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых","1-2 раза в месяц","Скорее да, но не ключевая","Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства"
"2026/01/11 12:54:43 PM GMT+3","26-35","МО Невская застава","Скорее нет","Слышал(а), но подробности не известны","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Вряд ли стал бы посещать","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/01/11 12:55:18 PM GMT+3","36-45","МО Невская застава","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/21 12:04:22 PM GMT+3","18-25","МО Невская застава","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Раз в неделю","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/04/21 12:04:49 PM GMT+3","18-25","МО Невская застава","Скорее нет","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","1-2 раза в месяц","Скорее да, но не ключевая","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Уникальная атмосфера и история места"
"2026/04/21 12:05:34 PM GMT+3","26-35","МО Невская застава","Затрудняюсь ответить","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Создание новой яркой достопримечательности района","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 12:06:02 PM GMT+3","26-35","МО Невская застава","Нет","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/04/21 12:06:26 PM GMT+3","26-35","МО Невская застава","Скорее нет","Слышал(а), но подробности не известны","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Нет, это рядовое здание","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
